year,gdp,total_population,inequality_measure,control_of_corruption,rule_of_law,government_effectiveness,political_stability,voice_and_accountability,regulatory_quality,attacks,log_attacks
1996,3.4299037889400164,611003.0,0.3036,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1997,3.4299037889400164,609520.0,0.3045,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1998,4.900005846,607662.0,0.3098,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
1999,-9.399998124,606001.0,0.2922,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2000,3.100000059,604950.0,0.3489,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2001,1.099838709,607389.0,0.321,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,1.0,0.6931471805599453
2002,1.903936733,609828.0,0.3259,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2003,2.482659229,612267.0,0.332,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2004,4.426050717,613353.0,0.3334,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2005,4.180604509,614261.0,0.3367,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.4591813785624212,0.4963422870542636,38.41653072321914,3.6741852898155956
2006,8.56641803,615025.0,0.3468,0.32848837209302323,0.4802451191472869,0.35523255813953486,0.5516472868217054,0.6569999999999999,0.4963422870542636,0.0,0.0
